figure,panel,element,source_file,source_value,rendered_value,status
FIG_S1,A,"signed gap (gemini-3-pro, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.03549391031265259,-0.03549391031265259,MATCH
FIG_S1,A,"signed gap (claude-4.5-opus-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.026843768064216622,-0.026843768064216622,MATCH
FIG_S1,A,"signed gap (gpt-5.2-codex, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.0088970831462315,-0.0088970831462315,MATCH
FIG_S1,A,"signed gap (minimax-m2.5-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.006801281019906069,-0.006801281019906069,MATCH
FIG_S1,A,"signed gap (gemini-3-flash-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.002621742161837526,-0.002621742161837526,MATCH
FIG_S1,A,"signed gap (claude-opus-4.6, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.005816074518056991,0.005816074518056991,MATCH
FIG_S1,A,"signed gap (glm-5-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.012320962950432612,0.012320962950432612,MATCH
FIG_S1,A,"signed gap (gpt-5.2-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.012806634773270376,0.012806634773270376,MATCH
FIG_S1,A,"signed gap (claude-4.5-haiku-high, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.05180813868840539,0.05180813868840539,MATCH
FIG_S1,A,"signed gap (gpt-5-mini, success)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.1863747736240955,0.1863747736240955,MATCH
FIG_S1,B,"signed gap (gemini-3-flash-high, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.043506622314453125,-0.043506622314453125,MATCH
FIG_S1,B,"signed gap (gpt-5.2-codex, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.019873435082642943,-0.019873435082642943,MATCH
FIG_S1,B,"signed gap (claude-4.5-haiku-high, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.018475093624808592,-0.018475093624808592,MATCH
FIG_S1,B,"signed gap (gpt-5-mini, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,-0.0015650666677035074,-0.0015650666677035074,MATCH
FIG_S1,B,"signed gap (gpt-5.2-high, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.03994845216338694,0.03994845216338694,MATCH
FIG_S1,B,"signed gap (glm-5-high, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.04171158870061242,0.04171158870061242,MATCH
FIG_S1,B,"signed gap (minimax-m2.5-high, failure)",outputs\earlyeval_phase0d_cross_agent_calibration\analysis\calibration_gaps.csv,0.06015623227143896,0.06015623227143896,MATCH
