figure,panel,element,source_file,source_value,rendered_value,status
Figure 1,A,panel A schematic (no numeric results plotted),outputs/paper2_w2_visual_architecture/data/(none),n/a (conceptual),n/a,CONCEPTUAL_NO_NUMERIC
Figure 1,B,panel B schematic (no numeric results plotted),outputs/paper2_w2_visual_architecture/data/(none),n/a (conceptual),n/a,CONCEPTUAL_NO_NUMERIC
Figure 1,C,panel C schematic (no numeric results plotted),outputs/paper2_w2_visual_architecture/data/(none),n/a (conceptual),n/a,CONCEPTUAL_NO_NUMERIC
Figure 2,A,raw gap (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.03549391031265259,-0.03549391031265259,MATCH
Figure 2,A,corrected gap (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.0,0.0,MATCH
Figure 2,A,raw gap (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.026843768064216622,-0.026843768064216622,MATCH
Figure 2,A,corrected gap (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.02266529065577849,-0.02266529065577849,MATCH
Figure 2,A,raw gap (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.0088970831462315,-0.0088970831462315,MATCH
Figure 2,A,corrected gap (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.012765659485714398,-0.012765659485714398,MATCH
Figure 2,A,raw gap (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.006801281019906069,-0.006801281019906069,MATCH
Figure 2,A,corrected gap (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.004317142923320638,-0.004317142923320638,MATCH
Figure 2,A,raw gap (gemini-3-flash-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.002621742161837526,-0.002621742161837526,MATCH
Figure 2,A,corrected gap (gemini-3-flash-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-9.325153971828648e-05,-9.325153971828648e-05,MATCH
Figure 2,A,raw gap (claude-opus-4.6),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.005816074518056991,0.005816074518056991,MATCH
Figure 2,A,corrected gap (claude-opus-4.6),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.010322126586370994,0.010322126586370994,MATCH
Figure 2,A,raw gap (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.012320962950432612,0.012320962950432612,MATCH
Figure 2,A,corrected gap (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.008772816450522414,0.008772816450522414,MATCH
Figure 2,A,raw gap (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.012806634773270376,0.012806634773270376,MATCH
Figure 2,A,corrected gap (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.008756605422880148,0.008756605422880148,MATCH
Figure 2,A,raw gap (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.05180813868840539,0.05180813868840539,MATCH
Figure 2,A,corrected gap (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.03539643386381108,0.03539643386381108,MATCH
Figure 2,A,raw gap (gpt-5-mini),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.1863747736240955,0.1863747736240955,MATCH
Figure 2,A,corrected gap (gpt-5-mini),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.14233811033884336,0.14233811033884336,MATCH
Figure 2,B,raw gap (gemini-3-flash-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.043506622314453125,-0.043506622314453125,MATCH
Figure 2,B,corrected gap (gemini-3-flash-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.04722806703534288,-0.04722806703534288,MATCH
Figure 2,B,raw gap (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.019873435082642943,-0.019873435082642943,MATCH
Figure 2,B,corrected gap (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.015805306908378003,-0.015805306908378003,MATCH
Figure 2,B,raw gap (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.018475093624808592,-0.018475093624808592,MATCH
Figure 2,B,corrected gap (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.004259220058520641,-0.004259220058520641,MATCH
Figure 2,B,raw gap (gpt-5-mini),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,-0.0015650666677035074,-0.0015650666677035074,MATCH
Figure 2,B,corrected gap (gpt-5-mini),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.02247359084803513,0.02247359084803513,MATCH
Figure 2,B,raw gap (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.03994845216338694,0.03994845216338694,MATCH
Figure 2,B,corrected gap (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.0439708096776904,0.0439708096776904,MATCH
Figure 2,B,raw gap (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.04171158870061242,0.04171158870061242,MATCH
Figure 2,B,corrected gap (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.04578261932847538,0.04578261932847538,MATCH
Figure 2,B,raw gap (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.06015623227143896,0.06015623227143896,MATCH
