scope,target_agent,head,pair_id,partner_agent,side_in_pair,common_tasks,pair_head_eligible_phase1a,eligible_occurrence_plotted,target_prior_degenerate,n_decisions,empirical_precision,corrected_mean_score,signed_corrected_gap,absolute_corrected_gap,log_odds_ratio
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0006,claude-4.5-haiku-high,B,500,True,TRUE,False,269,0.7843866171003717,0.9240928383512791,0.13970622125090737,0.13970622125090737,-1.0157699637452753
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0106,claude-4.5-opus-high,B,500,True,TRUE,False,223,0.7892376681614349,0.9213646213642088,0.1321269532027739,0.1321269532027739,-0.9427785166153427
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0206,claude-opus-4.6,B,500,True,TRUE,False,206,0.7815533980582524,0.916147972668144,0.13459457460989155,0.13459457460989155,-0.9399741696946954
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0306,gemini-3-flash-high,B,498,True,TRUE,False,206,0.7766990291262136,0.9144452575766632,0.1377462284504496,0.1377462284504496,-0.9495546603372107
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0406,gemini-3-pro,B,491,True,TRUE,False,191,0.806282722513089,0.9236289905147491,0.11734626800166015,0.11734626800166015,-0.8008883885986348
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0506,glm-5-high,B,500,True,TRUE,False,177,0.7570621468926554,0.906035690360928,0.14897354346827263,0.14897354346827263,-0.9710568422728961
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0607,gpt-5.2-codex,A,500,True,TRUE,False,208,0.7451923076923077,0.9114638405735308,0.1662715328812231,0.1662715328812231,-0.9710568422728961
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0608,gpt-5.2-high,A,500,True,TRUE,False,195,0.7846153846153846,0.912468195665254,0.12785281104986934,0.12785281104986934,-0.9710568422728961
PRIMARY_TARGET_1,gpt-5-mini,success,pair-0609,minimax-m2.5-high,A,500,True,TRUE,False,185,0.7621621621621621,0.9115047567335035,0.14934259457134136,0.14934259457134136,-0.9498078372113822
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0002,claude-4.5-haiku-high,B,500,True,TRUE,False,33,0.8181818181818182,0.959801783224185,0.14161996504236674,0.14161996504236674,0.10188247090458247
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0102,claude-4.5-opus-high,B,500,True,TRUE,False,40,0.875,0.9518836323699027,0.0768836323699027,0.0768836323699027,0.1695750462985115
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0203,gemini-3-flash-high,A,498,False,FALSE,False,25,0.8,0.9552588288897712,0.15525882888977116,0.15525882888977116,0.16520410836142463
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0204,gemini-3-pro,A,491,True,TRUE,False,37,0.8648648648648649,0.9473781974013923,0.08251333253652737,0.08251333253652737,0.31763312232197183
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0205,glm-5-high,A,500,True,TRUE,False,34,0.9117647058823529,0.9558641231723702,0.04409941729001732,0.04409941729001732,0.14329778724173425
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0206,gpt-5-mini,A,500,True,TRUE,False,39,0.8461538461538461,0.9607637068818567,0.1146098607280106,0.1146098607280106,0.030381811858394947
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0207,gpt-5.2-codex,A,500,True,TRUE,False,32,0.84375,0.9541470348259362,0.11039703482593621,0.11039703482593621,0.14329778724173425
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0208,gpt-5.2-high,A,500,True,TRUE,False,35,0.8285714285714286,0.9555951175073292,0.12702368893590055,0.12702368893590055,0.14329778724173425
PRIMARY_TARGET_2,claude-opus-4.6,failure,pair-0209,minimax-m2.5-high,A,500,True,TRUE,False,39,0.8461538461538461,0.9572316137642215,0.11107776761037536,0.11107776761037536,0.16303710958627904
