model_id,success_decisions,correct_success,false_success,success_precision,success_error_rate,failure_decisions,correct_failure,false_failure,failure_precision,failure_error_rate,no_stop,test_final_failures
claude-4.5-haiku-high,300,275,25,0.9166666666666666,0.08333333333333333,44,43,1,0.9772727272727273,0.022727272727272728,156,167
claude-4.5-opus-high,223,221,2,0.9910313901345291,0.008968609865470852,61,52,9,0.8524590163934426,0.14754098360655737,216,116
claude-opus-4.6,208,200,8,0.9615384615384616,0.038461538461538464,41,35,6,0.8536585365853658,0.14634146341463414,251,114
gemini-3-flash-high,275,267,8,0.9709090909090909,0.02909090909090909,14,14,0,1.0,0.0,209,119
gemini-3-pro,258,258,0,1.0,0.0,25,0,25,0.0,1.0,208,0
glm-5-high,289,276,13,0.9550173010380623,0.04498269896193772,24,22,2,0.9166666666666666,0.08333333333333333,187,136
gpt-5-mini,235,184,51,0.7829787234042553,0.2170212765957447,26,25,1,0.9615384615384616,0.038461538461538464,239,219
gpt-5.2-codex,224,218,6,0.9732142857142857,0.026785714285714284,46,45,1,0.9782608695652174,0.021739130434782608,230,136
gpt-5.2-high,239,227,12,0.9497907949790795,0.0502092050209205,37,34,3,0.918918918918919,0.08108108108108109,224,136
minimax-m2.5-high,214,207,7,0.9672897196261683,0.03271028037383177,39,35,4,0.8974358974358975,0.10256410256410256,247,121
