model_id,head,metric,k,denominator,rate,wilson_lower,wilson_upper,undefined_denominator
claude-4.5-haiku-high,success,precision,275,300,0.9166666666666666,0.8798783980359391,0.9429191259436057,False
claude-4.5-haiku-high,failure,precision,43,44,0.9772727272727273,0.8819229030178671,0.9959767479399467,False
claude-4.5-haiku-high,success_error,error_rate,25,300,0.08333333333333333,0.057080874056394275,0.12012160196406074,False
claude-4.5-haiku-high,failure_error,error_rate,1,44,0.022727272727272728,0.004023252060053224,0.11807709698213287,False
claude-4.5-opus-high,success,precision,221,223,0.9910313901345291,0.96789495741479,0.9975370281602437,False
claude-4.5-opus-high,failure,precision,52,61,0.8524590163934426,0.742767647052789,0.9203883149206723,False
claude-4.5-opus-high,success_error,error_rate,2,223,0.008968609865470852,0.002462971839756233,0.03210504258520995,False
claude-4.5-opus-high,failure_error,error_rate,9,61,0.14754098360655737,0.07961168507932755,0.257232352947211,False
claude-opus-4.6,success,precision,200,208,0.9615384615384616,0.9259538387998538,0.9803843306446447,False
claude-opus-4.6,failure,precision,35,41,0.8536585365853658,0.7155654195751904,0.9311575185870407,False
claude-opus-4.6,success_error,error_rate,8,208,0.038461538461538464,0.01961566935535541,0.07404616120014622,False
claude-opus-4.6,failure_error,error_rate,6,41,0.14634146341463414,0.0688424814129593,0.28443458042480957,False
gemini-3-flash-high,success,precision,267,275,0.9709090909090909,0.9436562704969571,0.9851869549523369,False
gemini-3-flash-high,failure,precision,14,14,1.0,0.7846891972623643,1.0,False
gemini-3-flash-high,success_error,error_rate,8,275,0.02909090909090909,0.01481304504766312,0.056343729503042964,False
gemini-3-flash-high,failure_error,error_rate,0,14,0.0,1.3877787807814457e-17,0.2153108027376358,False
gemini-3-pro,success,precision,258,258,1.0,0.9853290657713424,0.9999999999999999,False
gemini-3-pro,failure,precision,0,25,0.0,1.3877787807814457e-17,0.13319225093904846,False
gemini-3-pro,success_error,error_rate,0,258,0.0,0.0,0.014670934228657465,False
gemini-3-pro,failure_error,error_rate,25,25,1.0,0.8668077490609515,0.9999999999999999,False
glm-5-high,success,precision,276,289,0.9550173010380623,0.9245706608353289,0.973526217452093,False
glm-5-high,failure,precision,22,24,0.9166666666666666,0.741511978067893,0.9768411847029567,False
glm-5-high,success_error,error_rate,13,289,0.04498269896193772,0.026473782547906978,0.07542933916467115,False
glm-5-high,failure_error,error_rate,2,24,0.08333333333333333,0.023158815297043306,0.25848802193210685,False
gpt-5-mini,success,precision,184,235,0.7829787234042553,0.7259515770456946,0.830903169432166,False
gpt-5-mini,failure,precision,25,26,0.9615384615384616,0.8110722109696524,0.9931780150064564,False
gpt-5-mini,success_error,error_rate,51,235,0.2170212765957447,0.16909683056783406,0.2740484229543054,False
gpt-5-mini,failure_error,error_rate,1,26,0.038461538461538464,0.006821984993543487,0.18892778903034757,False
gpt-5.2-codex,success,precision,218,224,0.9732142857142857,0.9428042689398315,0.9876673014991508,False
gpt-5.2-codex,failure,precision,45,46,0.9782608695652174,0.8866470547848865,0.9961521457419497,False
gpt-5.2-codex,success_error,error_rate,6,224,0.026785714285714284,0.012332698500849157,0.05719573106016845,False
gpt-5.2-codex,failure_error,error_rate,1,46,0.021739130434782608,0.0038478542580502872,0.11335294521511355,False
gpt-5.2-high,success,precision,227,239,0.9497907949790795,0.9143032004849885,0.971048094323155,False
gpt-5.2-high,failure,precision,34,37,0.918918918918919,0.7869932065071162,0.9720394258995521,False
gpt-5.2-high,success_error,error_rate,12,239,0.0502092050209205,0.028951905676845045,0.0856967995150115,False
gpt-5.2-high,failure_error,error_rate,3,37,0.08108108108108109,0.02796057410044797,0.2130067934928839,False
minimax-m2.5-high,success,precision,207,214,0.9672897196261683,0.9340323727207677,0.9840665102132681,False
minimax-m2.5-high,failure,precision,35,39,0.8974358974358975,0.7642114553714348,0.9593866865533163,False
minimax-m2.5-high,success_error,error_rate,7,214,0.03271028037383177,0.015933489786731998,0.06596762727923236,False
minimax-m2.5-high,failure_error,error_rate,4,39,0.10256410256410256,0.04061331344668381,0.23578854462856527,False
