model_id,head,decisions,correct,empirical_precision,mean_raw_score,mean_corrected_score,raw_gap,corrected_gap,absolute_raw_gap,absolute_corrected_gap,gap_absorbed_by_correction
claude-4.5-haiku-high,success,300,275,0.9166666666666666,0.968474805355072,0.9520631005304777,0.05180813868840539,0.03539643386381108,0.05180813868840539,0.03539643386381108,0.3167785070083444
claude-4.5-haiku-high,failure,44,43,0.9772727272727273,0.9587976336479187,0.9730135072142067,-0.018475093624808592,-0.004259220058520641,0.018475093624808592,0.004259220058520641,0.7694615169472643
claude-4.5-opus-high,success,223,221,0.9910313901345291,0.9641876220703125,0.9683660994787506,-0.026843768064216622,-0.02266529065577849,0.026843768064216622,0.02266529065577849,0.15565912350465205
claude-4.5-opus-high,failure,61,52,0.8524590163934426,0.9673830270767212,0.9630911855862718,0.11492401068327862,0.11063216919282925,0.11492401068327862,0.11063216919282925,0.037345037515940316
claude-opus-4.6,success,208,200,0.9615384615384616,0.9673545360565186,0.9718605881248326,0.005816074518056991,0.010322126586370994,0.005816074518056991,0.010322126586370994,-0.7747583106654155
claude-opus-4.6,failure,41,35,0.8536585365853658,0.9646234512329102,0.9590076971100844,0.11096491464754432,0.10534916052471854,0.11096491464754432,0.10534916052471854,0.05060837599580903
gemini-3-flash-high,success,275,267,0.9709090909090909,0.9682873487472534,0.9708158393693727,-0.002621742161837526,-9.325153971828648e-05,0.002621742161837526,9.325153971828648e-05,0.9644314604709533
gemini-3-flash-high,failure,14,14,1.0,0.9564933776855469,0.9527719329646571,-0.043506622314453125,-0.04722806703534288,0.043506622314453125,0.04722806703534288,-0.08553743138210645
gemini-3-pro,success,258,258,1.0,0.9645060896873474,1.0,-0.03549391031265259,0.0,0.03549391031265259,0.0,1.0
gemini-3-pro,failure,25,0,0.0,0.9582048058509827,0.0,0.9582048058509827,0.0,0.9582048058509827,0.0,1.0
glm-5-high,success,289,276,0.9550173010380623,0.9673382639884949,0.9637901174885847,0.012320962950432612,0.008772816450522414,0.012320962950432612,0.008772816450522414,0.2879763955288589
glm-5-high,failure,24,22,0.9166666666666666,0.958378255367279,0.962449285995142,0.04171158870061242,0.04578261932847538,0.04171158870061242,0.04578261932847538,-0.09759951022443758
gpt-5-mini,success,235,184,0.7829787234042553,0.9693534970283508,0.9253168337430987,0.1863747736240955,0.14233811033884336,0.1863747736240955,0.14233811033884336,0.23628017048096284
gpt-5-mini,failure,26,25,0.9615384615384616,0.9599733948707581,0.9840120523864967,-0.0015650666677035074,0.02247359084803513,0.0015650666677035074,0.02247359084803513,-13.359510244385715
gpt-5.2-codex,success,224,218,0.9732142857142857,0.9643172025680542,0.9604486262285713,-0.0088970831462315,-0.012765659485714398,0.0088970831462315,0.012765659485714398,-0.43481400318502095
gpt-5.2-codex,failure,46,45,0.9782608695652174,0.9583874344825745,0.9624555626568394,-0.019873435082642943,-0.015805306908378003,0.019873435082642943,0.015805306908378003,0.20470181210987326
gpt-5.2-high,success,239,227,0.9497907949790795,0.9625974297523499,0.9585474004019596,0.012806634773270376,0.008756605422880148,0.012806634773270376,0.008756605422880148,0.31624462023726385
gpt-5.2-high,failure,37,34,0.918918918918919,0.9588673710823059,0.9628897285966094,0.03994845216338694,0.0439708096776904,0.03994845216338694,0.0439708096776904,-0.10068869496751076
minimax-m2.5-high,success,214,207,0.9672897196261683,0.9604884386062622,0.9629725767028476,-0.006801281019906069,-0.004317142923320638,0.006801281019906069,0.004317142923320638,0.3652456190701173
minimax-m2.5-high,failure,39,35,0.8974358974358975,0.9575921297073364,0.954764558138205,0.06015623227143896,0.05732866070230758,0.06015623227143896,0.05732866070230758,0.04700380097564483
