model_id,train_success_prior,test_success_prior,prior_shift,train_success_odds,test_success_odds,success_odds_ratio,log_odds_ratio_success_head,log_odds_ratio_failure_head,prior_degenerate,degenerate_reason
claude-4.5-haiku-high,0.755624860770773,0.666,-0.08962486077077292,3.092069279854147,1.9940119760479045,0.6448794627725684,-0.43869185907287434,0.43869185907287434,False,
claude-4.5-opus-high,0.7442637558476275,0.768,0.02373624415237252,2.910278745644599,3.3103448275862073,1.1374665854740997,0.12880349600411778,-0.12880349600411778,False,
claude-opus-4.6,0.7438182223212296,0.772,0.028181777678770392,2.9034782608695644,3.385964912280702,1.166175396562686,0.1537295024839771,-0.1537295024839771,False,
gemini-3-flash-high,0.7450456468492541,0.7610441767068273,0.015998529857573218,2.9222707423580796,3.1848739495798326,1.0898627233320104,0.08605174641246749,-0.08605174641246749,False,
gemini-3-pro,0.7189862160960427,1.0,0.28101378390395726,2.558544303797469,,inf,inf,-inf,True,"held-out success prior is 0 or 1, so the oracle odds ratio is 0 or +inf and the corrected probabilities sit on the boundary"
glm-5-high,0.7487190911116062,0.728,-0.02071909111160619,2.9796099290780145,2.676470588235294,0.8982620718623657,-0.10729341376641299,0.10729341376641299,False,
gpt-5-mini,0.7672087324571174,0.562,-0.20520873245711735,3.2956937799043065,1.2831050228310505,0.3893277435709779,-0.9433337616314649,0.9433337616314649,False,
gpt-5.2-codex,0.7487190911116062,0.728,-0.02071909111160619,2.9796099290780145,2.676470588235294,0.8982620718623657,-0.10729341376641299,0.10729341376641299,False,
gpt-5.2-high,0.7487190911116062,0.728,-0.02071909111160619,2.9796099290780145,2.676470588235294,0.8982620718623657,-0.10729341376641299,0.10729341376641299,False,
minimax-m2.5-high,0.7453775896636222,0.758,0.012622410336377787,2.9273840769903767,3.1322314049586777,1.069976239051933,0.0676364417337263,-0.0676364417337263,False,
