pair_id,agent_A,agent_B,head,analysis,n_A_all_tasks,n_B_all_tasks,n_common_tasks,train_success_prior,train_trajectories,A_decisions,A_correct,A_precision,A_mean_stop_score,A_raw_gap,A_target_success_prior,A_target_trajectories,A_log_odds_ratio,A_prior_degenerate,A_corrected_mean_score,A_corrected_gap,A_abs_corrected_gap,A_all_task_decisions,A_all_task_precision,A_all_task_raw_gap,A_no_stop,B_decisions,B_correct,B_precision,B_mean_stop_score,B_raw_gap,B_target_success_prior,B_target_trajectories,B_log_odds_ratio,B_prior_degenerate,B_corrected_mean_score,B_corrected_gap,B_abs_corrected_gap,B_all_task_decisions,B_all_task_precision,B_all_task_raw_gap,B_no_stop,PAIR_HEAD_ELIGIBLE,PAIRWISE_RESIDUAL_GAP_DIFFERENCE,ABS_GAP_A,ABS_GAP_B,PRECISION_DIFFERENCE,PRIOR_SHIFT_DIFFERENCE,PAIRWISE_RAW_GAP_DIFFERENCE
pair-0001,claude-4.5-haiku-high,claude-4.5-opus-high,success,COMMON_TASK_SUPPORT_AB,500,500,500,0.7540737026823765,3989,252,230,0.9126984126984127,0.9614464945736385,0.048748081875225835,0.666,500,-0.4303095479406782,False,0.941983644550098,0.0292852318516853,0.0292852318516853,252,0.9126984126984127,0.048748081875225835,224,228,223,0.9780701754385965,0.9631454045312446,-0.014924770907351892,0.768,500,0.07659413597699527,False,0.9657625232731725,-0.012307652165424066,0.012307652165424066,228,0.9780701754385965,-0.014924770907351892,249,True,0.041592884017109366,0.0292852318516853,0.012307652165424066,0.06537176274018386,0.10199999999999998,0.06367285278257773
pair-0001,claude-4.5-haiku-high,claude-4.5-opus-high,failure,COMMON_TASK_SUPPORT_AB,500,500,500,0.7540737026823765,3989,24,24,1.0,0.9592978109916052,-0.04070218900839484,0.666,500,-0.4303095479406782,False,0.9731302467215496,-0.026869753278450426,0.026869753278450426,24,1.0,-0.04070218900839484,224,23,21,0.9130434782608695,0.9615166316861692,0.048473153425299675,0.768,500,0.07659413597699527,False,0.9585876248389339,0.04554414657806438,0.04554414657806438,23,0.9130434782608695,0.048473153425299675,249,True,0.07241389985651481,0.026869753278450426,0.04554414657806438,0.08695652173913049,0.10199999999999998,0.08917534243369452
pair-0002,claude-4.5-haiku-high,claude-opus-4.6,success,COMMON_TASK_SUPPORT_AB,500,500,500,0.7535723238906994,3989,285,258,0.9052631578947369,0.9654814797535277,0.060218321858790835,0.666,500,-0.4276077726020642,False,0.9481103257643579,0.04284716786962106,0.04284716786962106,285,0.9052631578947369,0.060218321858790835,178,220,211,0.9590909090909091,0.9666090417991985,0.007518132708289382,0.772,500,0.10188247090458247,False,0.9697360760927014,0.0106451670017923,0.0106451670017923,220,0.9590909090909091,0.007518132708289382,247,True,0.03220200086782876,0.04284716786962106,0.0106451670017923,0.053827751196172224,0.10599999999999998,0.05270018915050145
pair-0002,claude-4.5-haiku-high,claude-opus-4.6,failure,COMMON_TASK_SUPPORT_AB,500,500,500,0.7535723238906994,3989,37,35,0.9459459459459459,0.9600788725389017,0.01413292659295573,0.666,500,-0.4276077726020642,False,0.9735814922475827,0.027635546301636782,0.027635546301636782,37,0.9459459459459459,0.01413292659295573,178,33,27,0.8181818181818182,0.963543359077338,0.14536154089551978,0.772,500,0.10188247090458247,False,0.959801783224185,0.14161996504236674,0.14161996504236674,33,0.8181818181818182,0.14536154089551978,247,True,0.11398441874072995,0.027635546301636782,0.14161996504236674,0.1277641277641277,0.10599999999999998,0.13122861430256405
pair-0003,claude-4.5-haiku-high,gemini-3-flash-high,success,COMMON_TASK_SUPPORT_AB,500,498,498,0.7539622641509434,3975,262,239,0.9122137404580153,0.9639042836564188,0.051690543198403494,0.6646586345381527,498,-0.43573283432153775,False,0.9453538915716939,0.03314015111367863,0.03314015111367863,264,0.9128787878787878,0.05100006203759799,211,260,255,0.9807692307692307,0.9655893135529298,-0.015179917216300964,0.7610441767068273,498,0.03855531468905138,False,0.9668434671591384,-0.013925763610092345,0.013925763610092345,260,0.9807692307692307,-0.015179917216300964,224,True,0.047065914723770974,0.03314015111367863,0.013925763610092345,0.06855549031121544,0.09638554216867468,0.06687046041470446
pair-0003,claude-4.5-haiku-high,gemini-3-flash-high,failure,COMMON_TASK_SUPPORT_AB,500,498,498,0.7539622641509434,3975,25,23,0.92,0.955727083683014,0.035727083683013916,0.6646586345381527,498,-0.43573283432153775,False,0.9709055471435961,0.050905547143596075,0.050905547143596075,25,0.92,0.035727083683013916,211,14,14,1.0,0.9547335548060281,-0.04526644519397194,0.7610441767068273,498,0.03855531468905138,False,0.9530380927724977,-0.046961907227502264,0.046961907227502264,14,1.0,-0.04526644519397194,224,False,,,,,,
pair-0004,claude-4.5-haiku-high,gemini-3-pro,success,COMMON_TASK_SUPPORT_AB,500,491,491,0.7294956698930208,3926,282,259,0.9184397163120568,0.9654465009134712,0.047006784601414386,0.6680244399185336,491,-0.2928019187012707,False,0.9542779254741433,0.035838209162086465,0.035838209162086465,286,0.9195804195804196,0.04570185846382091,174,234,234,1.0,0.9628316260810591,-0.0371683739189409,1.0,491,inf,True,1.0,0.0,0.0,234,1.0,-0.0371683739189409,228,True,0.035838209162086465,0.035838209162086465,0.0,0.08156028368794321,0.33197556008146645,0.08417515852035529
pair-0004,claude-4.5-haiku-high,gemini-3-pro,failure,COMMON_TASK_SUPPORT_AB,500,491,491,0.7294956698930208,3926,35,33,0.9428571428571428,0.9605993969099862,0.017742254052843354,0.6680244399185336,491,-0.2928019187012707,False,0.9702882559802792,0.027431113123136397,0.027431113123136397,38,0.9473684210526315,0.012651595630143841,174,29,0,0.0,0.9586492489124167,0.9586492489124167,1.0,491,inf,True,0.0,0.0,0.0,29,0.0,0.9586492489124167,228,True,0.027431113123136397,0.027431113123136397,0.0,0.9428571428571428,0.33197556008146645,0.9409069948595733
pair-0005,claude-4.5-haiku-high,glm-5-high,success,COMMON_TASK_SUPPORT_AB,500,500,500,0.7590874905991477,3989,284,259,0.9119718309859155,0.9659328483779666,0.05396101739205106,0.666,500,-0.45753452802335826,False,0.9473229197494458,0.035351088763530325,0.035351088763530325,284,0.9119718309859155,0.05396101739205106,186,286,276,0.965034965034965,0.966434952679214,0.001399987644248979,0.728,500,-0.16318422368635854,False,0.9607459761950736,-0.004288988839891372,0.004288988839891372,286,0.965034965034965,0.001399987644248979,192,True,0.0396400776034217,0.035351088763530325,0.004288988839891372,0.0530631340490495,0.061999999999999944,0.05256102974780208
pair-0005,claude-4.5-haiku-high,glm-5-high,failure,COMMON_TASK_SUPPORT_AB,500,500,500,0.7590874905991477,3989,30,28,0.9333333333333333,0.958517607053121,0.025184273719787598,0.666,500,-0.45753452802335826,False,0.973323506068944,0.039990172735610674,0.039990172735610674,30,0.9333333333333333,0.025184273719787598,186,22,20,0.9090909090909091,0.9576013304970481,0.04851042140613904,0.728,500,-0.16318422368635854,False,0.9637471263092593,0.054656217218350234,0.054656217218350234,22,0.9090909090909091,0.04851042140613904,192,True,0.01466604448273956,0.039990172735610674,0.054656217218350234,0.024242424242424288,0.061999999999999944,0.02332614768635144
