agent_model,head,pair_folds_in_scope,eligible_occurrences,eligible_occurrences_required,excluded_pairs_below_decision_minimum,excluded_pairs_prior_degenerate,median_signed_corrected_gap,median_abs_corrected_gap,median_abs_corrected_gap_required,positive_gap_fraction,negative_gap_fraction,zero_gap_count,same_sign_fraction,same_sign_fraction_required,TARGET_HEAD_PERSISTENT_LARGE_GAP
claude-4.5-haiku-high,success,9,9,7,0,0,0.03515151706366926,0.03515151706366926,0.08,1.0,0.0,0,1.0,0.7777777777777778,False
claude-4.5-haiku-high,failure,9,8,7,1,0,0.026566944990123464,0.02715043320079341,0.08,0.875,0.125,0,0.875,0.8,False
claude-4.5-opus-high,success,9,9,7,0,0,-0.01658266619760973,0.01658266619760973,0.08,0.0,1.0,0,1.0,0.7777777777777778,False
claude-4.5-opus-high,failure,9,8,7,1,0,0.04737262466155767,0.04737262466155767,0.08,1.0,0.0,0,1.0,0.8,False
claude-opus-4.6,success,9,9,7,0,0,0.009403387830266952,0.009403387830266952,0.08,0.8888888888888888,0.1111111111111111,0,0.8888888888888888,0.7777777777777778,False
claude-opus-4.6,failure,9,8,7,1,0,0.11073740121815578,0.11073740121815578,0.08,1.0,0.0,0,1.0,0.8,True
gemini-3-flash-high,success,9,9,7,0,0,-0.00710451911557608,0.00710451911557608,0.08,0.0,1.0,0,1.0,0.7777777777777778,False
gemini-3-flash-high,failure,9,1,7,8,0,-0.05817795555799765,0.05817795555799765,0.08,0.0,1.0,0,1.0,0.8,False
gemini-3-pro,success,9,0,7,0,9,,,0.08,,,0,,,False
gemini-3-pro,failure,9,0,7,0,9,,,0.08,,,0,,,False
glm-5-high,success,9,9,7,0,0,-0.005639591145756739,0.0077063060840308895,0.08,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0.7777777777777778,False
glm-5-high,failure,9,7,7,2,0,0.0535233352012594,0.0535233352012594,0.08,1.0,0.0,0,1.0,0.8,False
gpt-5-mini,success,9,9,7,0,0,0.1377462284504496,0.1377462284504496,0.08,1.0,0.0,0,1.0,0.7777777777777778,True
gpt-5-mini,failure,9,7,7,2,0,0.022857982668804677,0.022857982668804677,0.08,0.7142857142857143,0.2857142857142857,0,0.7142857142857143,0.8,False
gpt-5.2-codex,success,9,9,7,0,0,-0.0004482449937177613,0.0024351495077385987,0.08,0.4444444444444444,0.5555555555555556,0,0.5555555555555556,0.7777777777777778,False
gpt-5.2-codex,failure,9,8,7,1,0,-0.014819327021883988,0.021903515413307262,0.08,0.25,0.75,0,0.75,0.8,False
gpt-5.2-high,success,9,9,7,0,0,0.002362440535781163,0.0061918430819725145,0.08,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.7777777777777778,False
gpt-5.2-high,failure,9,6,7,3,0,0.0019353236067148893,0.02719473684580337,0.08,0.5,0.5,0,0.5,0.8,False
minimax-m2.5-high,success,9,9,7,0,0,-0.006184767003047487,0.006599119322483471,0.08,0.2222222222222222,0.7777777777777778,0,0.7777777777777778,0.7777777777777778,False
minimax-m2.5-high,failure,9,8,7,1,0,0.07854985853616758,0.07854985853616758,0.08,1.0,0.0,0,1.0,0.8,False
