scope,agent_model,head,left_out_index,left_out_pair_id,remaining_occurrences,median_signed_gap,median_abs_gap,sign_preserved
PRIMARY_TARGET_1,gpt-5-mini,success,0,pair-0006,8,0.13617040153017057,0.13617040153017057,True
PRIMARY_TARGET_1,gpt-5-mini,success,1,pair-0106,8,0.13872622485067848,0.13872622485067848,True
PRIMARY_TARGET_1,gpt-5-mini,success,2,pair-0206,8,0.13872622485067848,0.13872622485067848,True
PRIMARY_TARGET_1,gpt-5-mini,success,3,pair-0306,8,0.13715039793039946,0.13715039793039946,True
PRIMARY_TARGET_1,gpt-5-mini,success,4,pair-0406,8,0.13872622485067848,0.13872622485067848,True
PRIMARY_TARGET_1,gpt-5-mini,success,5,pair-0506,8,0.13617040153017057,0.13617040153017057,True
PRIMARY_TARGET_1,gpt-5-mini,success,6,pair-0607,8,0.13617040153017057,0.13617040153017057,True
PRIMARY_TARGET_1,gpt-5-mini,success,7,pair-0608,8,0.13872622485067848,0.13872622485067848,True
PRIMARY_TARGET_1,gpt-5-mini,success,8,pair-0609,8,0.13617040153017057,0.13617040153017057,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,0,pair-0002,7,0.11039703482593621,0.11039703482593621,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,1,pair-0102,7,0.11107776761037536,0.11107776761037536,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,2,pair-0204,7,0.11107776761037536,0.11107776761037536,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,3,pair-0205,7,0.11107776761037536,0.11107776761037536,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,4,pair-0206,7,0.11039703482593621,0.11039703482593621,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,5,pair-0207,7,0.11107776761037536,0.11107776761037536,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,6,pair-0208,7,0.11039703482593621,0.11039703482593621,True
PRIMARY_TARGET_2,claude-opus-4.6,failure,7,pair-0209,7,0.11039703482593621,0.11039703482593621,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,0,pair-0009,7,0.07657139027251492,0.07657139027251492,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,1,pair-0109,7,0.07657139027251492,0.07657139027251492,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,2,pair-0209,7,0.07657139027251492,0.07657139027251492,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,3,pair-0409,7,0.08052832679982025,0.08052832679982025,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,4,pair-0509,7,0.08052832679982025,0.08052832679982025,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,5,pair-0609,7,0.08052832679982025,0.08052832679982025,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,6,pair-0709,7,0.07657139027251492,0.07657139027251492,True
SENSITIVITY_ONLY,minimax-m2.5-high,failure,7,pair-0809,7,0.08052832679982025,0.08052832679982025,True
