model,agent,all_public_trials,usable_full_trajectories,usable_fraction,low_trajectory_coverage,unique_tasks_usable,successes,failures
openai/gpt-oss-20b@together_ai,terminus-2,932,932,1.0,False,89,28,904
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,929,928,0.998924,False,89,224,704
openai/gpt-oss-120b@together_ai,terminus-2,925,924,0.998919,False,89,178,746
moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,923,923,1.0,False,89,258,665
accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,904,904,1.0,False,89,224,680
accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,902,902,1.0,False,89,276,626
moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,892,892,1.0,False,89,320,572
openai/gpt-oss-20b@together_ai,mini-swe-agent,888,886,0.997748,False,89,30,856
openai/gpt-oss-120b@together_ai,mini-swe-agent,887,884,0.996618,False,89,126,758
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,878,870,0.990888,False,89,226,644
moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,875,860,0.982857,False,89,238,622
claude-opus-4-5-20251101@anthropic,terminus-2,445,445,1.0,False,89,257,188
claude-opus-4-6@anthropic,terminus-2,445,445,1.0,False,89,280,165
gemini-3-pro-preview@gemini,terminus-2,445,445,1.0,False,89,253,192
gpt-5.1-codex@openai,terminus-2,445,445,1.0,False,89,164,281
gpt-5.1@openai,terminus-2,445,445,1.0,False,89,212,233
grok-code-fast-1@xai,terminus-2,445,445,1.0,False,89,63,382
gemini-3-flash-preview@gemini,terminus-2,445,444,0.997753,False,89,230,214
gpt-5.2@openai,terminus-2,444,443,0.997748,False,89,239,204
gemini-2.5-pro@gemini,terminus-2,442,442,1.0,False,89,145,297
claude-opus-4-1-20250805@anthropic,terminus-2,443,441,0.995485,False,89,169,272
gpt-5-nano@openai,mini-swe-agent,445,441,0.991011,False,89,31,410
claude-opus-4-1-20250805@anthropic,openhands,445,440,0.988764,False,89,164,276
claude-sonnet-4-5-20250929@anthropic,terminus-2,440,440,1.0,False,89,190,250
minimax-m2.1@minimax,claude-code,445,440,0.988764,False,88,163,277
claude-haiku-4-5-20251001@anthropic,terminus-2,439,439,1.0,False,89,125,314
claude-opus-4-5-20251101@anthropic,openhands,445,438,0.98427,False,89,231,207
claude-sonnet-4-5-20250929@anthropic,openhands,443,438,0.988713,False,89,188,250
