model_id,head,decisions,correct,empirical_precision,mean_raw_score,mean_corrected_score,raw_gap,corrected_gap,absolute_raw_gap,absolute_corrected_gap,distinct_tasks,test_success_prior,train_success_prior,prior_shift,prior_degenerate,log_odds_ratio_success_head,log_odds_ratio_failure_head,provider_family,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_median,bootstrap_n_task_clusters,target_head_large_gap
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,success,8,7,0.875,0.9544915556907654,0.930950168320082,0.07949155569076538,0.05595016832008204,0.07949155569076538,0.05595016832008204,3,0.2413793103448276,0.33112759842256534,-0.08974828807773774,False,-0.4420427872618512,0.4420427872618512,Qwen/Alibaba,,,,,False
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,failure,328,323,0.9847560975609756,0.9672240018844604,0.9786405343628151,-0.017532095676515147,-0.006115563198160534,0.017532095676515147,0.006115563198160534,45,0.2413793103448276,0.33112759842256534,-0.08974828807773774,False,-0.4420427872618512,0.4420427872618512,Qwen/Alibaba,-0.01901479953997116,0.012409945295132296,-0.007155915219559439,45.0,False
accounts/fireworks/models/glm-4p6@fireworks_ai,success,1,1,1.0,0.9520378708839417,0.92977454710398,-0.04796212911605835,-0.07022545289602,0.04796212911605835,0.07022545289602,1,0.24778761061946902,0.33059726393059724,-0.08280965331112822,False,-0.40496177948093215,0.40496177948093215,Zhipu/Z.ai,,,,,False
accounts/fireworks/models/glm-4p6@fireworks_ai,failure,340,337,0.9911764705882353,0.9751364588737488,0.9832152916530584,-0.016040011714486546,-0.007961178935176894,0.016040011714486546,0.007961178935176894,49,0.24778761061946902,0.33059726393059724,-0.08280965331112822,False,-0.40496177948093215,0.40496177948093215,Zhipu/Z.ai,-0.017668619665029375,0.007948070631058445,-0.008873883875290589,49.0,False
accounts/fireworks/models/minimax-m2@fireworks_ai,success,6,6,1.0,0.9562621116638184,0.9530818058351881,-0.04373788833618164,-0.04691819416481191,0.04373788833618164,0.04691819416481191,2,0.3108108108108108,0.326778214785681,-0.015967403974870176,False,-0.07353829285667735,0.07353829285667735,MiniMax,,,,,False
accounts/fireworks/models/minimax-m2@fireworks_ai,failure,396,377,0.952020202020202,0.9737856984138489,0.9755834834673944,0.021765496393646888,0.02356328144719244,0.021765496393646888,0.02356328144719244,56,0.3108108108108108,0.326778214785681,-0.015967403974870176,False,-0.07353829285667735,0.07353829285667735,MiniMax,-0.005190255673398125,0.06257686728136075,0.022448155348558374,56.0,False
claude-haiku-4-5-20251001@anthropic,success,0,0,,,,,,,,0,0.2853881278538813,0.3270338489418161,-0.041645721087934795,False,-0.19625809958609974,0.19625809958609974,Anthropic,,,,,False
claude-haiku-4-5-20251001@anthropic,failure,130,129,0.9923076923076923,0.9670738577842712,0.972757456860501,-0.025233834523421095,-0.019550235447191366,0.025233834523421095,0.019550235447191366,35,0.2853881278538813,0.3270338489418161,-0.041645721087934795,False,-0.19625809958609974,0.19625809958609974,Anthropic,-0.02960692433987893,-0.002604534423768312,-0.020156065215013397,35.0,False
claude-opus-4-1-20250805@anthropic,success,0,0,,,,,,,,0,0.3832199546485261,0.32424909373381666,0.05897086091470943,False,0.2584091466777577,-0.2584091466777577,Anthropic,,,,,False
claude-opus-4-1-20250805@anthropic,failure,99,97,0.9797979797979798,0.976326584815979,0.9696285685259453,-0.003471394982000775,-0.010169411272034523,0.003471394982000775,0.010169411272034523,29,0.3832199546485261,0.32424909373381666,0.05897086091470943,False,0.2584091466777577,-0.2584091466777577,Anthropic,-0.0324325264761714,0.01986834759591457,-0.010797802996609873,29.0,False
